User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude
User_63,2025-01-02 10:57:52,0.549,0.3713,Driving,Zep,Speeding,2way,0,20,5G,-75,-138,10,0.0069298335735661,40.27961438282681,21.7549926844717
User_09,2025-01-02 11:05:50,0.444,0.1047,Running,Zep,Driving_Under_Influence,1way,0,40,101,-71,92,15,0.0096403118306032,40.280705639198615,21.754015809827813
User_65,2025-01-02 12:43:21,0.654,0.2602,Running,Zep,6,2way,2,30,4G,-95,63,-11,0.0061704143654811,40.279788226604815,21.751739732737924
User_48,2025-01-02 13:45:47,0.636,0.1969,Driving,Koila,Speeding,4way,3,60,5G,-72,29,-3,0.03,40.32183774354811,21.79150734571852
User_91,2025-01-02 14:48:49,0.716,0.2133,Driving,Koila,Driving_Under_Influence,4way,3,70,5G,-114,85,16,0.0077457655388315,42.139636,21.79272770856204
User_50,2025-01-02 15:16:48,0.395,0.2274,Walking,Zep,Speeding,1way,0,20,3G,-73,75,-6,0.0081586866910683,41.251216,21.753642265466972
User_32,2025-01-02 21:33:45,0.684,0.1033,Flying,Zep,Reckless_Driving,1way,0,30,3G,-88,37,-3,0.0022896937493228,40.27946294959558,21.75274623809048
User_02,2025-01-02 21:55:29,0.477,0.1994,Driving,Ligeris,Driving_Under_Influence,2way,0,50,111,-91,56,2,0.0013229003822944,40.3058664643992,21.80769570900155
User_15,2025-01-02 22:00:34,0.369,0.0438,Running,Zep,Speeding,2way,0,20,3G,-118,38,-11,0.031,40.279989257538304,21.75186127899905
User_59,2025-01-02 22:11:12,0.521,0.1233,Walking,Ligeris,Driving_Under_Influence,2way,0,40,4G,-79,77,23,0.0043235840301434,40.30473762933745,21.80812675194537
User_27,2025-01-02 22:11:55,0.33,0.208,Running,Ligeris,Reckless_Driving,2way,0,40,4G,-103,43,-13,0.0015117655753948,40.30660669708054,23.278491
User_35,2025-01-02 22:31:29,0.301,0.0605,Walking,Center,Driving_Under_Influence,2way,0,90,3G,-90,30,-6,0.0092005547660448,40.306064704689334,21.807590601285536
User_12,2025-01-02 22:35:40,0.74,0.2861,Walking,Zep,Driving_Under_Influence,1way,0,60,4G,-104,35,-12,0.0056728473466671,40.27958901444529,22.966819
User_58,2025-01-02 22:54:03,0.744,0.1962,Walking,Zep,9,1way,3,30,WiFi,-85,96,-7,0.0038250371883442,40.27940962204683,21.75426633320412
User_92,2025-01-02 23:32:31,0.622,0.0134,Driving,Ligeris,Speeding,1way,2,40,4G,-104,72,5,0.0032957997557628,38.872671,21.80637766468334
User_95,2025-01-03 00:59:12,0.36,0.2799,Flying,Koila,Reckless_Driving,2way,1,50,4G,-99,70,4,0.0060810198596337,40.32275472759226,21.790487499470025
User_10,2025-01-03 02:10:36,0.35,0.2955,Driving,Zep,Speeding,4way,140,60,3G,-114,24,4,0.0081733906310017,40.27903806092005,21.753205878622115
User_17,2025-01-03 03:31:26,0.439,0.3786,Running,Center,Speeding,1way,4,50,3G,-92,4,-14,0.008352104193995,40.3218273771374,21.793315348838597
User_12,2025-01-03 04:48:50,0.74,0.2881,Driving,Zep,Reckless_Driving,4way,0,50,104,-52,52,5,0.0074542597827634,40.279727694435586,21.753469974429077
User_92,2025-01-03 04:58:53,0.622,0.0144,Running,Zep,Speeding,2way,1,30,5G,-95,66,-21,0.0072636539502458,40.27943662502311,21.752076024717045
User_22,2025-01-03 05:33:07,0.656,0.1056,Swimming,Zep,Reckless_Driving,2way,0,90,5G,-76,49,-2,0.0078142119920649,40.28055624235938,21.754570957170703
User_88,2025-01-03 05:57:10,0.421,0.3462,Running,Ligeris,Speeding,2way,0,30,4G,-93,52,0,0.00505000588111,42.820904,21.806222395334817
User_07,2025-01-03 06:09:39,0.47,0.2354,Running,Ligeris,Speeding,4way,0,50,5G,-81,-157,-14,0.0015061122991774,40.30742878866063,21.808118781944497
User_96,2025-01-03 06:22:37,0.308,0.1668,Running,Ligeris,Speeding,1way,2,80,5G,-71,-123,3,0.004721646389628,40.306213859279104,21.80751189649301
User_08,2025-01-03 06:44:31,0.33,0.3159,Driving,Spinari,Speeding,1way,1,90,5G,-94,12,14,0.0061556696896676,40.279190970633564,21.75402158118134
User_92,2025-01-03 06:53:59,0.622,0.0154,Swimming,Zep,Reckless_Driving,2way,1,70,4G,-83,28,-2,0.0066260260110871,40.27846669568727,21.751565567830905
User_14,2025-01-03 09:35:06,0.533,0.0866,Walking,Zep,9,2way,0,20,WiFi,-56,83,-11,0.0066126531976277,40.27986712397324,21.753251480530555
User_77,2025-01-03 09:51:22,0.369,0.0913,Walking,Koila,Reckless_Driving,2way,0,80,WiFi,-52,41,-16,0.0046567193935431,41.258896,21.789462956701733
User_74,2025-01-03 10:48:18,0.564,0.174,Driving,Koila,8,4way,1,50,5G,-76,25,-6,0.0045871927011815,40.32087866716498,21.790596831721963
User_90,2025-01-03 13:23:31,0.395,0.1168,Walking,Koila,6,4way,0,80,3G,-70,35,9,0.0082808964465935,40.322339326131285,21.790863823347685
User_69,2025-01-03 13:44:17,0.667,0.1101,Swimming,Koila,Reckless_Driving,2way,1,10,3G,-84,76,-5,0.003394219291716,40.322922950055336,21.79048824660804
User_46,2025-01-03 14:10:49,0.537,0.2359,Flying,Ligeris,Reckless_Driving,2way,1,40,WiFi,-85,10,-4,0.0064004705087502,40.3064552100633,21.80711826223117
User_37,2025-01-03 15:35:45,0.696,0.0197,Driving,Spinari,Speeding,2way,3,10,4G,-92,17,-3,0.0099947827199182,40.30753088711323,21.80689849911443
User_25,2025-01-03 16:09:53,0.352,0.0703,Walking,Koila,Driving_Under_Influence,2way,1,10,3G,-101,1,1,0.0083191414429979,40.32113026692372,23.859025
User_30,2025-01-03 19:44:56,0.478,0.2081,Running,Koila,6,4way,2,50,WiFi,-83,84,10,0.0054590026392775,40.3207234110334,21.790749638890563
User_45,2025-01-03 20:47:41,0.693,0.2014,Walking,Center,Speeding,1way,0,90,5G,-112,99,15,0.0079846253545256,40.304833011175624,21.80723447452618
User_97,2025-01-03 21:16:14,0.737,0.2186,Driving,Koila,Driving_Under_Influence,2way,4,40,5G,-91,40,-10,0.043,40.32251780118973,21.79062405023103
User_78,2025-01-03 23:49:31,0.615,0.214,Walking,Zep,Reckless_Driving,2way,0,30,3G,-118,10,-10,0.0086384619386922,40.27816825316784,18.112582
User_75,2025-01-04 01:37:35,0.65,0.2934,Running,Zep,Driving_Under_Influence,5way,0,60,4G,-111,40,-1,0.0038981929697627,40.27890780815837,21.75174233301883
User_65,2025-01-04 02:09:22,0.654,0.2632,Running,Koila,Reckless_Driving,4way,0,40,4G,-99,-134,-12,0.0022322069923105,40.321272012172635,21.78932850162257
User_66,2025-01-04 03:04:33,0.551,0.1429,Running,Ligeris,Driving_Under_Influence,2way,3,80,5G,-80,68,-5,0.0019244636650897,37.898715,21.80809044697381
User_24,2025-01-04 05:44:12,0.354,0.3468,Running,Ligeris,Driving_Under_Influence,2way,0,Harassing_Driver,WiFi,-83,92,-9,0.0027598694393642,40.30641807331017,21.807753305295115
User_82,2025-01-04 07:57:56,0.291,0.041,Walking,Ligeris,Speeding,2way,0,70,3G,-116,73,-10,0.0013385509285184,40.30613138533991,19.614033
User_91,2025-01-04 08:05:33,0.716,0.2183,Walking,Koila,Reckless_Driving,4way,1,70,WiFi,-79,-132,-6,0.003920282000816,40.322160953434825,21.791720359168817
User_11,2025-01-04 09:18:03,0.263,0.3598,Walking,Ligeris,Speeding,4way,140,40,4G,-114,95,3,0.0011236903369893,40.30462031708686,21.807720289577272
User_72,2025-01-04 09:20:45,0.359,0.3238,Driving,Zep,Reckless_Driving,2way,0,30,5G,-77,34,-24,0.0014277789803574,40.27938646009891,21.75416634066328
User_60,2025-01-04 09:23:18,0.669,0.0677,Walking,Zep,Speeding,2way,0,60,5G,-112,-158,-14,0.0095819909793648,40.279494658091046,21.753303947356805
User_26,2025-01-04 09:41:00,0.495,0.2553,Walking,Ligeris,Driving_Under_Influence,2way,1,20,3G,-90,91,-24,0.002684518827505,40.30684290857462,21.808478410285247
User_69,2025-01-04 14:49:26,0.667,0.1131,Running,Ligeris,Reckless_Driving,1way,0,60,WiFi,-53,0,21,0.0064618140967753,40.3063584321025,21.80802907045112
User_09,2025-01-04 14:54:39,0.444,0.1097,Running,Center,Reckless_Driving,2way,2,30,WiFi,-64,19,-9,0.0029169052725428,40.32173836848784,21.79096513253096
User_33,2025-01-04 18:19:31,0.554,0.2113,Running,Center,Driving_Under_Influence,4way,3,10,5G,-103,83,-14,0.0078953670631505,40.32235827134855,21.79109976430055
User_23,2025-01-04 18:26:14,0.532,0.0757,Running,Ligeris,8,1way,0,20,3G,-119,58,-1,0.0018234636215645,40.30750787433754,21.807439082110783
User_100,2025-01-04 20:27:42,0.718,0.347,Running,Zep,8,1way,1,20,4G,-89,61,-15,0.0016810737434252,40.27910731177729,21.753063287654353
User_15,2025-01-04 20:31:36,0.369,0.0478,Swimming,Ligeris,Driving_Under_Influence,4way,0,40,WiFi,-83,91,-7,0.005872265526278,40.307385738354334,21.80844243855355
User_27,2025-01-04 21:49:12,0.33,0.212,Driving,Koila,Driving_Under_Influence,2way,2,40,3G,-101,61,-6,0.0091849111487671,40.32089767157962,19.504361
User_99,2025-01-05 01:46:44,0.622,0.1734,Running,Zep,6,2way,0,20,5G,-100,41,8,0.0058445449408401,40.27961990358813,21.75339907058823
User_70,2025-01-05 03:23:08,0.314,0.1791,Driving,Koila,Speeding,2way,4,50,4G,-113,21,-1,0.0037426408179992,40.32077611064989,18.985078
User_58,2025-01-05 05:21:00,0.744,0.2012,Running,Center,Reckless_Driving,4way,3,10,3G,-76,24,-8,0.0036777608144789,40.30543323895796,21.807924382510027
User_62,2025-01-05 10:26:42,0.471,0.117,Walking,Koila,Reckless_Driving,1way,0,Harassing_Driver,5G,-84,54,8,0.0046618618021082,40.32103681370469,21.789986672019403
User_12,2025-01-05 10:47:13,0.74,0.2921,Walking,Zep,Speeding,1way,0,30,3G,-98,92,2,0.0092492950736723,40.279354884747015,18.734335
User_66,2025-01-05 11:51:20,0.551,0.1449,Walking,Ligeris,Driving_Under_Influence,4way,0,60,4G,-74,42,0,0.0018341426506706,38.023899,21.809746655706977
User_75,2025-01-05 12:43:05,0.65,0.2964,Running,Center,Reckless_Driving,2way,0,10,WiFi,-77,42,16,0.0086434157089659,40.321974517929824,21.790992412116967
User_51,2025-01-05 15:17:18,0.574,0.1443,Swimming,Koila,Driving_Under_Influence,1way,0,10,4G,-118,97,16,0.0033685507354104,40.3218050484127,21.791677843423216
User_74,2025-01-05 15:56:03,0.564,0.179,Driving,Zep,Speeding,2way,0,20,3G,-71,54,5,0.048,40.28019144345857,21.75456987931946
User_19,2025-01-05 16:12:31,0.361,0.3438,Running,Spinari,Reckless_Driving,2way,2,20,5G,-106,8,-5,0.0075068602056308,40.30618463262214,21.807875028790537
User_20,2025-01-05 17:47:31,0.625,0.4053,Running,Zep,Driving_Under_Influence,2way,0,60,4G,-98,-48,7,0.0099456046473824,40.28053112600861,21.75311430837881
User_01,2025-01-05 18:08:49,0.581,0.3827,Driving,Ligeris,Speeding,2way,1,30,112,-107,43,14,0.008833723662168,40.30661580405811,21.80645464002086
User_40,2025-01-05 18:25:54,0.357,0.0971,Walking,Zep,Driving_Under_Influence,2way,5,40,3G,-112,70,-23,0.0034182512755248,40.279506171757745,21.752144935152906
User_16,2025-01-05 18:38:55,0.455,0.2798,Driving,Ligeris,Driving_Under_Influence,4way,0,10,4G,-109,-123,-11,0.0033539547492312,40.30702301554064,21.80778007930537
User_85,2025-01-05 21:18:15,0.653,0.2103,Driving,Ligeris,Driving_Under_Influence,2way,140,90,3G,-77,82,-8,0.0093566652728587,40.30512486958545,21.80684197278365
User_05,2025-01-05 21:44:20,0.307,0.1497,Flying,Zep,Speeding,2way,1,10,WiFi,-86,52,-6,0.00711046770354,40.27955831834248,21.754722505433055
User_84,2025-01-05 22:25:16,0.488,0.2004,Driving,Zep,Reckless_Driving,1way,1,40,WiFi,-79,40,5,0.004154798930762,37.919877,21.752845463683975
User_94,2025-01-05 22:27:44,0.459,0.014,Running,Ligeris,Speeding,2way,1,80,4G,-79,39,-25,0.0083632718859947,40.306294236386705,21.807509040014683
User_15,2025-01-05 22:47:26,0.369,0.0498,Driving,Koila,Speeding,2way,150,30,4G,-119,4,-16,0.0041951574392869,40.32200162747355,21.790873854875237
User_50,2025-01-05 22:52:55,0.395,0.2344,Driving,Koila,Reckless_Driving,2way,1,20,WiFi,-62,-47,5,0.0049184149432631,40.32049897851781,21.791375698687904
User_90,2025-01-05 23:47:26,0.395,0.1208,Driving,Koila,Reckless_Driving,1way,0,20,5G,-81,14,4,0.033,40.32161439949326,21.791627756663623
User_24,2025-01-05 23:47:41,0.354,0.3488,Walking,Koila,Speeding,6way,1,10,4G,-84,61,-9,0.0059944088636853,40.32361324781476,21.792215178506822
User_04,2025-01-06 00:24:56,0.619,0.3365,Driving,Koila,Reckless_Driving,1way,1,80,3G,-92,28,9,0.049,40.323843163217035,21.790818113067687
User_75,2025-01-06 03:16:47,0.65,0.2974,Walking,Zep,9,1way,0,80,WiFi,-80,48,9,0.0046701967552985,40.279312520723565,21.75346683638045
User_45,2025-01-06 04:09:23,0.693,0.2064,Walking,Spinari,Reckless_Driving,4way,0,10,5G,-84,78,0,0.0057277328814577,40.32205723743864,21.79150815052631
User_74,2025-01-06 04:45:48,0.564,0.18,Driving,Ligeris,Driving_Under_Influence,2way,2,90,103,-75,49,-2,0.0097829962949529,40.30692520702748,21.80754669453917
User_16,2025-01-06 05:40:28,0.455,0.2818,Driving,Ligeris,Speeding,1way,0,40,104,-66,67,16,0.0096886044503208,40.30622852397459,21.80765581722648
User_74,2025-01-06 06:00:01,0.564,0.181,Flying,Ligeris,Driving_Under_Influence,4way,1,40,5G,-93,69,-10,0.008842144248634,40.30601082208919,21.807048798120977
User_85,2025-01-06 06:47:29,0.653,0.2123,Running,Zep,Driving_Under_Influence,1way,2,70,WiFi,-64,82,-1,0.0033806245085999,40.28066851154183,23.483504
User_88,2025-01-06 07:07:46,0.421,0.3512,Walking,Koila,Speeding,4way,0,20,3G,-99,16,-11,0.042,40.322250567926886,21.79046675094915
User_54,2025-01-06 07:16:17,0.482,0.3879,Walking,Koila,Speeding,1way,4,20,5G,-91,30,25,0.0023092853449505,40.32228146812184,21.79251742446232
User_73,2025-01-06 07:47:18,0.343,0.3813,Running,Koila,Reckless_Driving,4way,2,40,106,-51,49,11,0.0074517531638776,40.32134843409879,21.793142867511484
User_60,2025-01-06 08:47:42,0.669,0.0707,Walking,Ligeris,Speeding,2way,0,70,5G,-76,-122,-6,0.0050865885606213,40.30554302067661,21.80918793842335
User_82,2025-01-06 09:14:37,0.291,0.045,Flying,Ligeris,Driving_Under_Influence,2way,1,40,WiFi,-88,87,3,0.0016891527454285,40.30618572216106,21.806482144620375
User_100,2025-01-06 10:38:53,0.718,0.35,Driving,Koila,Driving_Under_Influence,5way,1,60,4G,-91,40,10,0.0095191086573198,40.32134734635723,21.79255621371609
User_06,2025-01-06 11:02:52,0.573,0.2397,Walking,Zep,Driving_Under_Influence,2way,0,20,4G,-116,1,-25,0.0039499509006882,40.27920773789385,21.75542690485935
User_90,2025-01-06 11:11:43,0.395,0.1218,Swimming,Koila,Speeding,1way,1,20,WiFi,-70,10,-6,0.0029126077224253,40.32103923687443,21.792224816897544
User_22,2025-01-06 11:36:01,0.656,0.1116,Walking,Ligeris,Speeding,1way,0,70,111,-63,48,6,0.0067831518804267,40.3056226785234,21.807730372595387
User_49,2025-01-06 12:29:27,0.462,0.1817,Driving,Ligeris,Reckless_Driving,1way,0,30,5G,-115,79,-23,0.0051795487530798,40.30681674384577,21.808054746673943
User_24,2025-01-06 17:15:48,0.354,0.3498,Running,Zep,9,1way,0,80,5G,-107,57,-11,0.0098414328092558,40.27933609229944,21.755486505162633
User_59,2025-01-06 17:45:34,0.521,0.1313,Driving,Ligeris,Driving_Under_Influence,2way,0,70,3G,-107,34,-3,0.0063800740340418,37.16044,21.80946386998137
User_29,2025-01-06 18:17:57,0.603,0.3633,Running,Koila,Reckless_Driving,4way,0,50,5G,-119,11,-10,0.037,40.32103748735385,21.791940887267177
User_82,2025-01-06 18:38:50,0.291,0.046,Running,Koila,Driving_Under_Influence,2way,150,90,3G,-78,57,6,0.0018539696163453,40.32244849648104,21.7929199743754
User_39,2025-01-06 19:38:58,0.297,0.3394,Driving,Koila,Driving_Under_Influence,5way,4,10,4G,-78,85,-14,0.0087829391604574,40.32131050270143,21.78998215943023
User_50,2025-01-06 20:35:45,0.395,0.2364,Driving,Zep,Speeding,2way,1,80,3G,-80,0,16,0.0086202592872999,41.483779,21.75316846312984
User_30,2025-01-06 21:39:36,0.478,0.2141,Walking,Spinari,Reckless_Driving,2way,1,20,5G,-81,12,15,0.0085991048926001,40.32246661705735,21.791796920866503
User_58,2025-01-06 21:44:29,0.744,0.2042,Swimming,Koila,Speeding,2way,0,10,4G,-115,19,-9,0.0040846589578281,40.32311729558269,21.791347189441744
User_28,2025-01-06 22:17:40,0.311,0.0308,Walking,Ligeris,Driving_Under_Influence,2way,0,30,3G,-118,79,25,0.0034604273151206,40.30564882795095,21.805913950963077
User_86,2025-01-06 22:57:34,0.343,0.2258,Walking,Ligeris,8,4way,1,10,3G,-112,36,15,0.0022208758335064,40.306050599124575,21.80807784668378
User_31,2025-01-06 23:51:34,0.293,0.4107,Driving,Ligeris,Driving_Under_Influence,1way,140,30,5G,-96,85,-4,0.0096786966997383,40.30716349612903,21.808441655516923
User_58,2025-01-07 04:08:42,0.744,0.2062,Running,Ligeris,Driving_Under_Influence,4way,0,30,WiFi,-75,48,-8,0.0061042618959984,40.30636586514812,18.446113
User_09,2025-01-07 04:26:10,0.444,0.1157,Running,Center,Reckless_Driving,2way,0,40,WiFi,-70,11,-8,0.0084346601051255,40.30666399326771,21.80750895099785
User_40,2025-01-07 09:29:53,0.357,0.1001,Running,Ligeris,Driving_Under_Influence,4way,0,30,5G,-76,83,5,0.045,40.305460456695705,21.8060722594993
User_96,2025-01-07 09:54:08,0.308,0.1738,Walking,Koila,Reckless_Driving,4way,0,80,4G,-114,4,13,0.0095181581588594,42.622393,21.791944582182925
User_80,2025-01-07 10:10:53,0.447,0.3396,Walking,Zep,Speeding,1way,0,Harassing_Driver,WiFi,-70,38,-5,0.0013502489315592,40.27866396183466,21.75309075627266
User_75,2025-01-07 10:57:31,0.65,0.3004,Walking,Ligeris,Speeding,4way,150,20,WiFi,-61,82,9,0.0040267930117191,40.30558926666814,21.806058731161556
User_07,2025-01-07 14:46:56,0.47,0.2434,Driving,Zep,Driving_Under_Influence,1way,0,50,3G,-76,48,-14,0.0071039149179407,40.280891206229235,22.273401
User_37,2025-01-07 15:54:40,0.696,0.0287,Running,Zep,Reckless_Driving,4way,2,40,WiFi,-67,-127,-8,0.0027670294550709,40.279421524643176,21.754473222075333
User_56,2025-01-07 16:03:11,0.449,0.3516,Running,Koila,Speeding,2way,1,40,107,-105,14,-13,0.0078928226094269,40.32202429490463,21.79155003701177
User_93,2025-01-07 16:30:26,0.333,0.4003,Driving,Koila,Reckless_Driving,5way,1,20,3G,-101,89,-14,0.0093322980728628,40.320888133291014,21.792114153421355
User_29,2025-01-07 19:02:29,0.603,0.3653,Flying,Zep,Speeding,1way,0,50,WiFi,-65,76,16,0.0044192645140765,40.27997178848248,21.752307442187465
User_99,2025-01-07 19:32:49,0.622,0.1784,Driving,Zep,Driving_Under_Influence,5way,3,80,5G,-72,16,9,0.0065035044803078,40.27907788239359,21.75158647275715
User_46,2025-01-07 21:25:55,0.537,0.2439,Running,Ligeris,Reckless_Driving,1way,0,90,3G,-110,77,11,0.042,40.30623124355922,21.80745661045984
User_67,2025-01-07 22:10:52,0.692,0.2531,Swimming,Ligeris,Driving_Under_Influence,2way,4,70,5G,-101,26,-9,0.0018645160603721,40.30592009971533,21.806781575099855
User_76,2025-01-08 01:07:36,0.251,0.1752,Running,Ligeris,Driving_Under_Influence,2way,160,20,3G,-104,65,16,0.0059561543660466,40.30595600347892,21.807644758424622
User_13,2025-01-08 01:52:26,0.738,0.2883,Flying,Zep,Driving_Under_Influence,4way,0,10,3G,-117,0,2,0.0048621141914549,40.27969907852296,21.753750464761012
User_37,2025-01-08 02:51:36,0.696,0.0297,Driving,Spinari,Driving_Under_Influence,2way,0,40,5G,-108,67,12,0.0075236202899895,40.2785818239421,21.75373430028359
User_69,2025-01-08 03:00:18,0.667,0.1201,Running,Ligeris,Speeding,2way,0,30,4G,-118,39,-12,0.0091003771728277,40.304976049130424,19.155168
User_41,2025-01-08 03:31:11,0.642,0.3585,Driving,Koila,Speeding,1way,1,50,3G,-103,22,-24,0.0065809051268752,40.32321161673075,21.792773023313455
User_17,2025-01-08 04:35:08,0.439,0.3886,Walking,Koila,Speeding,1way,1,80,3G,-120,-138,11,0.0053532983539487,40.32211119058411,21.79139146796039
User_11,2025-01-08 04:56:10,0.263,0.3668,Walking,Koila,Reckless_Driving,6way,0,60,4G,-83,81,9,0.0031127040279914,40.322876682440175,21.789464239528645
User_19,2025-01-08 04:59:43,0.361,0.3498,Running,Zep,Reckless_Driving,2way,0,20,WiFi,-61,71,5,0.0046236063711336,42.216717,21.753955471962723
User_94,2025-01-08 05:03:27,0.459,0.019,Walking,Zep,8,2way,0,80,3G,-73,31,-5,0.0088657023052268,40.27869693165712,21.753454342145996
User_88,2025-01-08 08:21:53,0.421,0.3552,Walking,Koila,Reckless_Driving,4way,0,70,4G,-88,-48,-2,0.0026648742540572,40.320809697827926,21.792835743891587
User_82,2025-01-08 08:41:05,0.291,0.049,Walking,Koila,Speeding,2way,1,30,4G,-84,84,-8,0.047,40.32158196449204,21.790735239272824
User_04,2025-01-08 09:45:55,0.619,0.3405,Driving,Koila,Reckless_Driving,2way,0,10,104,-118,47,-7,0.0036866398125183,40.32239210964173,21.790984733351156
User_21,2025-01-08 09:55:52,0.256,0.2276,Swimming,Zep,Reckless_Driving,1way,1,10,5G,-99,72,16,0.0076476425176423,40.278765774018,21.751868287448207
User_30,2025-01-08 12:17:23,0.478,0.2181,Driving,Zep,9,1way,1,20,5G,-97,13,1,0.0022207363628465,40.279647718283144,21.753248063614983
User_13,2025-01-08 12:38:09,0.738,0.2893,Driving,Zep,Driving_Under_Influence,2way,1,20,3G,-107,98,-8,0.047,40.280075266004665,21.75366585806221
User_25,2025-01-08 15:42:15,0.352,0.0803,Running,Koila,Speeding,2way,1,60,3G,-80,60,-2,0.0010445802583342,38.444277,21.79120591656632
User_16,2025-01-08 16:22:32,0.455,0.2858,Running,Koila,Speeding,1way,1,20,3G,-112,23,1,0.007116551463417,40.32206374257356,17.013761
User_44,2025-01-08 16:58:50,0.546,0.2915,Running,Zep,Speeding,4way,1,80,3G,-70,18,-12,0.0018439354453081,40.28004018168195,19.644568
User_49,2025-01-08 17:08:38,0.462,0.1857,Running,Spinari,Speeding,2way,0,40,WiFi,-52,34,-14,0.0096421377797512,40.32148875974971,21.79041479655259
User_31,2025-01-08 17:29:14,0.293,0.4147,Running,Koila,Reckless_Driving,2way,2,80,4G,-71,-134,-9,0.0027084224253094,40.32188736957163,21.793579860303975
User_78,2025-01-08 19:28:03,0.615,0.224,Walking,Zep,7,1way,0,70,WiFi,-67,96,-6,0.0056074547791084,40.28052121948211,21.75240591080279
User_77,2025-01-08 19:33:53,0.369,0.1013,Walking,Koila,Speeding,2way,1,50,WiFi,-83,1,11,0.032,40.32197523398596,21.79151702833896
User_89,2025-01-08 19:35:15,0.606,0.4072,Running,Center,Reckless_Driving,2way,0,50,5G,-108,58,-15,0.0013402279053417,40.306428376801016,21.805244772459258
User_68,2025-01-08 23:45:40,0.402,0.2457,Running,Koila,Speeding,2way,2,40,5G,-78,57,-12,0.0076696766725921,37.259219,21.79124836551263
