User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude
User_70,2025-01-01 15:14:03,0.601,0.0949,Walking,Spinari,Reckless_Driving,2way,3.0,30,3G,-110,95.0,-19.0,0.0024152943000427,40.279282697965634,21.75510849569114
User_69,2025-01-01 16:24:01,0.34,0.3601,Walking,Spinari,Reckless_Driving,4way,1.0,60,5G,-103,62.0,4.0,0.009683691528496,40.32184888762569,21.791272471896303
User_14,2025-01-01 17:54:12,0.393,0.2084,Walking,Ligeris,Driving_Under_Influence,2way,0.0,60,WiFi,-79,51.0,-5.0,0.022,40.30496887066605,21.807453753923024
User_50,2025-01-01 18:57:53,0.398,0.2336,Swimming,Ligeris,Driving_Under_Influence,1way,0.0,20,5G,-84,72.0,10.0,0.0022198435113365,40.3063987302838,21.807776321569847
User_56,2025-01-01 20:25:51,0.374,0.0137,Walking,Ligeris,Speeding,2way,0.0,50,5G,-75,11.0,9.0,0.0037278798113839,40.307092037121194,18.225671
User_28,2025-01-01 20:44:22,0.348,0.3113,Walking,Ligeris,Driving_Under_Influence,1way,1.0,60,4G,-88,28.0,-14.0,0.024,40.306230115631266,21.806570964426783
User_71,2025-01-01 20:56:30,0.256,0.0043,Walking,Zep,Speeding,2way,1.0,40,3G,-120,19.0,-14.0,0.0041898206773126,40.27995983855513,17.727561
User_80,2025-01-01 23:07:23,0.704,0.1617,Driving,Zep,Driving_Under_Influence,4way,0.0,50,4G,-118,72.0,0.0,0.026,40.27891111182369,21.752822811493107
User_84,2025-01-01 23:53:14,0.527,0.0747,Flying,Zep,Driving_Under_Influence,4way,1.0,80,4G,-80,27.0,0.0,0.0047837134510808,40.27913764765052,21.754931361394178
User_96,2025-01-01 23:53:51,0.261,0.2591,Driving,Ligeris,Driving_Under_Influence,4way,1.0,30,3G,-82,83.0,-21.0,0.0057270435040705,40.30675150189219,21.806216756928112
User_83,2025-01-02 00:37:52,0.309,0.3615,Driving,Ligeris,Speeding,2way,1.0,30,106,-93,65.0,-14.0,0.0075290450627074,40.30631651954125,21.807453193419104
User_27,2025-01-02 01:29:32,0.535,0.2541,Driving,Zep,Speeding,5way,1.0,130,3G,-84,51.0,11.0,0.0011973166325485,40.27862048258845,21.753679569132057
User_57,2025-01-02 01:31:55,0.372,0.1142,Walking,Zep,Reckless_Driving,4way,1.0,110,WiFi,-86,95.0,-2.0,0.024,40.278857702332346,21.751190238989256
User_76,2025-01-02 04:13:58,0.355,0.2021,Driving,Ligeris,Driving_Under_Influence,1way,1.0,20,3G,-104,-43.0,-15.0,0.0068854761541654,40.30624981150674,21.80751990216036
User_73,2025-01-02 04:24:33,0.325,0.1927,Walking,Ligeris,Driving_Under_Influence,1way,1.0,70,4G,-97,66.0,24.0,0.0019823649997798,40.30572360998433,21.80709392124395
User_41,2025-01-02 04:34:30,0.628,0.1641,Running,Koila,6,2way,1.0,30,5G,-120,42.0,2.0,0.0061349121981592,40.32228459925733,18.24318
User_81,2025-01-02 06:18:38,0.376,0.2855,Walking,Koila,Driving_Under_Influence,2way,1.0,Illegal_Parking,3G,-99,34.0,3.0,0.0032246767242167,40.32211528820118,21.791853168833395
User_20,2025-01-02 08:38:01,0.334,0.3241,Swimming,Ligeris,Reckless_Driving,2way,0.0,30,WiFi,-86,88.0,-2.0,0.0051254344012638,40.30629723322413,21.807146346603385
User_61,2025-01-02 09:19:54,0.46,0.0827,Walking,Zep,6,1way,2.0,90,3G,-85,11.0,7.0,0.0025921376715661,40.27920134560909,21.753391112111995
User_84,2025-01-02 09:36:53,0.527,0.0767,Running,Center,Reckless_Driving,2way,1.0,10,4G,-120,2.0,12.0,0.0073574436429819,42.616341,21.751447718146423
User_06,2025-01-02 10:15:31,0.584,0.3715,Walking,Koila,Speeding,5way,0.0,40,3G,-76,19.0,-10.0,0.0066322710220538,40.306230115631266,23.05138
User_25,2025-01-02 10:57:19,0.408,0.1388,Running,Koila,Speeding,5way,1.0,40,4G,-106,80.0,3.0,0.0077053996155979,40.322451188684354,21.78969590671409
User_53,2025-01-02 11:00:29,0.313,0.1016,Driving,Ligeris,Reckless_Driving,2way,0.0,30,3G,-96,76.0,-25.0,0.0095612938847609,40.3050733306487,21.807389365844298
User_30,2025-01-02 12:56:27,0.413,0.0924,Walking,Koila,Driving_Under_Influence,1way,0.0,20,111,-106,72.0,9.0,0.0018893645681323,40.320341373252475,21.7907670693782
User_50,2025-01-02 13:49:32,0.398,0.2346,Walking,Zep,Driving_Under_Influence,4way,0.0,40,5G,-100,33.0,-22.0,0.0048190843633004,40.306230115631266,21.75363900846699
User_92,2025-01-02 15:28:44,0.694,0.1792,Swimming,Zep,Reckless_Driving,2way,1.0,10,4G,Ethernet,31.0,-10.0,0.0080028670288902,40.27880230748841,21.753104444676584
User_72,2025-01-02 16:29:34,0.567,0.0445,Walking,Koila,Reckless_Driving,2way,1.0,10,115,-95,52.0,-6.0,0.0059060490095617,40.322074293443315,21.79129641363847
User_24,2025-01-02 17:54:58,0.445,0.0846,Walking,Koila,Speeding,4way,0.0,Lane_Discards,3G,-99,2.0,-9.0,0.0057222826158304,40.321877777046275,21.791861596791502
User_19,2025-01-02 19:14:00,0.745,0.3845,Driving,Zep,Reckless_Driving,1way,0.0,40,5G,-97,28.0,7.0,0.0021657443484477,42.72617,21.752902084449932
User_80,2025-01-02 19:56:53,0.704,0.5641,Walking,Ligeris,Reckless_Driving,2way,0.0,30,117,-65,84.0,-10.0,0.0061046454912513,40.30601730889384,21.808464456168657
User_82,2025-01-02 20:41:50,0.324,0.2159,Running,Zep,Speeding,2way,0.0,30,106,-118,74.0,-12.0,0.0073424045298448,40.28051761229898,21.7542492854206
User_87,2025-01-02 21:14:21,0.709,0.3832,Walking,Zep,Driving_Under_Influence,2way,1.0,30,118,-93,99.0,-14.0,0.0083270514861208,40.27829861341862,21.754154863091312
User_58,2025-01-02 21:51:25,0.465,0.037,Running,Spinari,Driving_Under_Influence,2way,0.0,10,WiFi,-82,22.0,13.0,0.0065084293296363,40.30563379571157,21.808300634626352
User_24,2025-01-02 23:31:42,0.445,0.0856,Walking,Ligeris,Reckless_Driving,4way,1.0,20,111,-120,18.0,0.0,0.0029628934458769,40.30567830334531,21.806364001279576
User_47,2025-01-02 23:51:34,0.585,0.1112,Running,Ligeris,Driving_Under_Influence,2way,0.0,Illegal_Parking,3G,-117,92.0,-5.0,0.0033292893259176,40.306267915550364,21.807780596002356
User_49,2025-01-02 23:56:53,0.637,0.3443,Running,Zep,Reckless_Driving,2way,0.0,60,WiFi,-62,13.0,-24.0,0.0039977663688552,40.279540251127976,21.752870005032246
User_16,2025-01-03 00:57:16,0.513,0.2107,Running,Zep,Reckless_Driving,2way,0.0,50,111,-90,40.0,-16.0,0.0076611765295598,40.27961632416251,21.753548431916112
User_95,2025-01-03 01:11:04,0.545,0.2779,Running,Ligeris,Reckless_Driving,2way,0.0,Harassing_Driver,108,-85,75.0,-12.0,0.0057259944285553,40.30612943086764,21.807760426442023
User_30,2025-01-03 01:51:47,0.413,0.0944,Running,Zep,Speeding,2way,0.0,80,114,-119,70.0,3.0,0.0049037761333926,40.27973916199916,21.75361180235419
User_53,2025-01-03 03:12:57,0.313,0.1036,Walking,Zep,Driving_Under_Influence,1way,1.0,90,116,-83,54.0,9.0,0.0089345677115796,40.28006618530826,21.75294771369007
User_88,2025-01-03 03:57:54,0.471,0.1307,Driving,Ligeris,Reckless_Driving,4way,1.0,30,5G,-71,1.0,-15.0,0.0048637629235859,40.30505168051895,17.917117
User_90,2025-01-03 04:24:27,0.525,0.0648,Running,Ligeris,8,2way,2.0,60,4G,-82,-144.0,-16.0,0.0039773558378155,40.305755105902165,21.80783984759242
User_17,2025-01-03 05:03:18,0.631,0.1448,Driving,Koila,Reckless_Driving,4way,0.0,40,5G,-109,23.0,16.0,0.037,40.32193520942919,21.791024817848044
User_69,2025-01-03 06:43:07,0.34,0.3651,Walking,Ligeris,Reckless_Driving,2way,4.0,60,4G,-109,50.0,-11.0,0.025,40.304876644013376,21.8068286973096
User_39,2025-01-03 07:34:20,0.598,0.1527,Driving,Koila,Reckless_Driving,1way,0.0,Lane_Discards,5G,-117,17.0,2.0,0.0099214064570082,40.32234836836916,21.78897045603856
User_83,2025-01-03 07:55:28,0.309,0.3635,Running,Koila,6,2way,1.0,80,WiFi,-88,22.0,-23.0,0.002502469319135,40.322194032476595,21.792917732439193
User_81,2025-01-03 07:59:12,0.376,0.2885,Flying,Ligeris,Driving_Under_Influence,2way,0.0,40,3G,-111,-45.0,-2.0,0.005653142335994,40.30660339281691,21.805398501268225
User_73,2025-01-03 08:12:06,0.325,0.1957,Driving,Ligeris,Driving_Under_Influence,2way,0.0,10,WiFi,-79,85.0,-3.0,0.049,40.30460903283356,21.807331059747263
User_24,2025-01-03 08:34:46,0.445,0.0866,Walking,Ligeris,Speeding,5way,0.0,10,WiFi,-61,22.0,24.0,0.0089640577942757,40.30667501280308,21.808485156200096
User_35,2025-01-03 09:59:41,0.274,0.0842,Swimming,Ligeris,Reckless_Driving,2way,1.0,30,4G,-76,50.0,-5.0,0.0054362041693345,40.306125106765506,21.80696524464278
User_61,2025-01-03 10:01:21,0.546,0.0857,Running,Zep,6,2way,4.0,30,4G,-96,61.0,-11.0,0.0036350172472217,40.306230115631266,21.753109799038064
User_23,2025-01-03 10:41:45,0.458,0.153,Driving,Zep,Reckless_Driving,4way,5.0,50,109,-95,73.0,0.0,0.0065911003570279,40.28041732450943,21.75253909508532
User_11,2025-01-03 10:51:19,0.602,0.321,Walking,Koila,Driving_Under_Influence,5way,0.0,20,4G,-96,6.0,-8.0,0.007679995113805,40.32152265138683,21.791104889655184
User_34,2025-01-03 13:18:08,0.431,0.1579,Running,Zep,Driving_Under_Influence,1way,150.0,100,3G,-114,63.0,-11.0,0.0010637267582397,40.27954836198092,21.751710455374585
User_31,2025-01-03 13:43:07,0.56,0.3574,Running,Spinari,Speeding,4way,1.0,20,5G,-78,60.0,8.0,0.0018577150267823,40.30618475258382,21.80792721119126
User_58,2025-01-03 14:54:56,0.465,0.038,Walking,Koila,Speeding,2way,140.0,40,WiFi,-54,74.0,4.0,0.0073243216878841,40.32209352645449,21.79111963640373
User_94,2025-01-03 15:19:47,0.681,0.105,Running,Ligeris,Reckless_Driving,4way,0.0,40,5G,-79,30.0,-12.0,0.0033171902080056,40.30577782930876,22.200143
User_49,2025-01-03 16:12:59,0.637,0.3463,Running,Spinari,Driving_Under_Influence,4way,1.0,70,5G,-115,90.0,7.0,0.0083088206653185,40.30693196443984,21.80616847493281
User_05,2025-01-03 17:12:18,0.743,0.3007,Driving,Zep,6,4way,0.0,20,3G,-93,72.0,-3.0,0.0060821012655754,40.28076872582193,21.752556915538655
User_70,2025-01-03 17:19:22,0.601,0.0999,Running,Center,Reckless_Driving,2way,0.0,20,3G,Ethernet,74.0,-3.0,0.0098213868643596,40.27934401047821,21.752547849693457
User_18,2025-01-03 18:32:21,0.251,0.3955,Running,Koila,Speeding,2way,1.0,40,3G,-95,5.0,24.0,0.0094876157621507,40.32154138363786,21.791607260440443
User_85,2025-01-03 19:13:35,0.254,0.1313,Running,Zep,9,2way,0.0,80,3G,-74,-31.0,-10.0,0.0094463037620614,40.27980927377914,21.75539712876763
User_65,2025-01-03 19:43:08,0.448,0.0811,Flying,Koila,Driving_Under_Influence,1way,1.0,30,5G,-82,44.0,0.0,0.0096518496496216,40.32225710664063,21.79277439443292
User_93,2025-01-03 20:08:10,0.588,0.0262,Running,Zep,Reckless_Driving,2way,0.0,80,5G,-84,32.0,15.0,0.0050777104224692,40.28044746214352,23.286743
User_67,2025-01-03 20:29:29,0.529,0.2166,Walking,Zep,Reckless_Driving,4way,2.0,20,5G,-110,29.0,1.0,0.0013470176340373,40.27937671400606,22.190145
User_60,2025-01-03 21:15:12,0.353,0.3708,Running,Zep,Driving_Under_Influence,6way,0.0,70,3G,-100,8.0,8.0,0.0047466138739646,40.27966651421192,21.755388747827254
User_66,2025-01-03 21:17:21,0.28,0.2347,Running,Zep,Driving_Under_Influence,1way,2.0,70,3G,-104,55.0,1.0,0.036,40.27826545716893,21.752876353450908
User_52,2025-01-03 21:21:11,0.544,0.0822,Driving,Zep,Speeding,2way,3.0,50,WiFi,-58,55.0,9.0,0.038,40.27848546336629,21.751907569418627
User_33,2025-01-03 21:34:43,0.634,0.2182,Running,Koila,Driving_Under_Influence,2way,0.0,Illegal_Parking,4G,-75,65.0,2.0,0.005653142335994,40.3227556228833,21.791256784153244
User_39,2025-01-03 22:05:14,0.598,0.1537,Running,Zep,8,1way,1.0,60,WiFi,-70,74.0,0.0,0.0066642510874085,40.27981444771364,21.753904002917295
User_69,2025-01-04 00:19:16,0.34,0.3661,Running,Spinari,Driving_Under_Influence,4way,2.0,60,5G,-98,50.0,-4.0,0.0029531613495407,40.322703506109136,21.79124001075276
User_70,2025-01-04 01:04:20,0.601,0.1009,Running,Zep,Reckless_Driving,5way,0.0,20,5G,-113,51.0,-14.0,0.0054036858312931,40.27895110041732,21.75322811985958
User_86,2025-01-04 03:50:43,0.469,0.0081,Driving,Koila,Reckless_Driving,4way,0.0,20,WiFi,-70,29.0,-21.0,0.0088792693885436,40.32121632980039,21.791999891499135
User_58,2025-01-04 03:52:25,0.465,0.04,Running,Koila,Reckless_Driving,6way,0.0,50,4G,-97,100.0,-6.0,0.029,40.304711274164184,21.807088401301833
User_80,2025-01-04 04:16:28,0.704,0.1667,Driving,Center,Driving_Under_Influence,4way,0.0,30,4G,-73,23.0,12.0,0.0051231806792234,40.27907999256521,18.81316
User_30,2025-01-04 04:20:50,0.413,0.0964,Walking,Zep,7,2way,0.0,30,5G,-74,25.0,13.0,0.0051408921267143,40.28088229519474,21.753635763181503
User_83,2025-01-04 05:10:32,0.309,0.3655,Flying,Ligeris,Driving_Under_Influence,2way,1.0,30,3G,-111,71.0,-2.0,0.0052442044717022,42.681239,21.80609308355021
User_15,2025-01-04 05:19:13,0.627,0.3131,Driving,Ligeris,8,2way,1.0,30,WiFi,-68,64.0,3.0,0.0012137633581146,40.305520224358546,21.806328954181428
User_36,2025-01-04 05:32:51,0.563,0.3949,Driving,Ligeris,Driving_Under_Influence,2way,150.0,60,WiFi,-67,69.0,4.0,0.0042283002417841,40.30609175380962,21.80793636205903
User_61,2025-01-04 05:40:12,0.546,0.0867,Walking,Zep,Reckless_Driving,1way,160.0,60,4G,-83,92.0,4.0,0.005313347084429,40.279745088492376,21.75306278327173
User_83,2025-01-04 06:30:36,0.309,0.3665,Flying,Ligeris,Reckless_Driving,1way,0.0,30,101,-113,63.0,4.0,0.0049265138169685,40.3062795993217,21.808483438172708
User_95,2025-01-04 06:41:23,0.545,0.2809,Running,Koila,Driving_Under_Influence,6way,1.0,30,104,-109,79.0,9.0,0.0061248034246893,40.32363630117735,21.79183183497785
User_03,2025-01-04 07:20:36,0.568,0.0354,Walking,Zep,Reckless_Driving,5way,0.0,40,WiFi,-82,19.0,-14.0,0.0012464635607178,40.28047315843462,21.753338020151237
User_23,2025-01-04 07:34:22,0.458,0.155,Walking,Koila,6,2way,1.0,80,3G,-90,39.0,20.0,0.0032565777756352,40.32251699706442,21.79165515874273
User_62,2025-01-04 09:54:39,0.366,0.1152,Running,Spinari,Driving_Under_Influence,2way,2.0,40,4G,-110,32.0,6.0,0.0094348543848719,40.306080578078415,21.807502269157222
User_31,2025-01-04 12:03:37,0.56,0.3594,Running,Zep,7,1way,2.0,30,4G,-105,-144.0,10.0,0.003632229236483,40.2787027931029,21.752896556023728
User_87,2025-01-04 12:25:50,0.709,0.3872,Walking,Koila,Reckless_Driving,1way,1.0,50,111,-90,78.0,-2.0,0.0094562968857655,40.32119538230724,21.79075789942942
User_57,2025-01-04 13:45:57,0.372,0.1182,Running,Koila,Driving_Under_Influence,2way,140.0,40,WiFi,-64,40.0,0.0,0.0025199622688283,40.32313506211341,21.79151828118116
User_97,2025-01-04 14:02:41,0.337,0.2863,Walking,Ligeris,Driving_Under_Influence,4way,3.0,70,4G,-73,17.0,-5.0,0.0059161218180629,42.637863,21.80719909730457
User_98,2025-01-04 14:34:45,0.46,0.1588,Driving,Zep,Reckless_Driving,2way,0.0,10,WiFi,-51,93.0,-24.0,0.0075477883207367,40.279880098595946,21.791256784153244
User_98,2025-01-04 15:10:21,0.46,0.1598,Running,Ligeris,Driving_Under_Influence,1way,0.0,40,WiFi,-108,33.0,-4.0,0.0039443561930183,40.306739305219175,17.931113
User_50,2025-01-04 15:55:43,0.398,0.2386,Walking,Spinari,Speeding,1way,3.0,50,WiFi,-65,7.0,-2.0,0.037,40.280100900299914,21.755471353778493
User_43,2025-01-04 15:59:34,0.416,0.1657,Walking,Zep,Speeding,4way,0.0,80,WiFi,-73,67.0,0.0,0.049,40.278390899258575,21.751620703598135
User_55,2025-01-04 16:08:36,0.447,0.3434,Driving,Zep,Speeding,2way,1.0,50,114,-78,38.0,1.0,0.0084202680265823,40.27951173135963,21.752907330355686
User_12,2025-01-04 16:13:15,0.67,0.3592,Running,Koila,Reckless_Driving,1way,0.0,40,4G,-79,-123.0,-3.0,0.0030054629555631,40.32287085328643,21.793176767503972
User_77,2025-01-04 16:18:30,0.428,0.0245,Swimming,Zep,Reckless_Driving,2way,0.0,80,5G,-89,19.0,14.0,0.0022070267267477,40.279293389934814,21.752920990422787
User_11,2025-01-04 16:39:10,0.602,0.324,Walking,Zep,Driving_Under_Influence,1way,0.0,40,116,-70,19.0,13.0,0.0035798499115944,40.279529108066605,21.752095634077527
User_88,2025-01-04 16:41:31,0.471,0.1337,Running,Zep,Reckless_Driving,1way,2.0,80,4G,-91,29.0,-3.0,0.04,40.28033267054457,21.753290805169502
User_62,2025-01-04 16:44:16,0.366,0.1162,Driving,Zep,Reckless_Driving,1way,4.0,20,4G,-81,-30.0,-1.0,0.0059945054620793,40.2789738783224,21.75439015622021
User_17,2025-01-04 16:44:28,0.631,0.1468,Swimming,Ligeris,Driving_Under_Influence,2way,0.0,60,119,-88,19.0,8.0,0.0015414246756518,40.306672672964496,21.80852795010087
User_43,2025-01-04 17:11:07,0.416,0.1667,Running,Koila,Reckless_Driving,6way,1.0,50,WiFi,-90,71.0,-8.0,0.0089310657824422,40.32246620339812,17.694779
User_78,2025-01-04 17:27:57,0.347,0.2466,Walking,Koila,7,2way,4.0,40,3G,-103,94.0,-11.0,0.0046163449985535,40.32111758498164,18.058666
User_47,2025-01-04 17:29:02,0.585,0.1152,Walking,Spinari,Reckless_Driving,2way,1.0,20,5G,-100,87.0,-10.0,0.006898354232815,40.32196354668694,21.790833454949187
User_60,2025-01-04 17:54:56,0.353,0.3728,Walking,Koila,Reckless_Driving,4way,160.0,90,WiFi,-70,7.0,0.0,0.0091526040887654,40.32075219724883,23.523836
User_70,2025-01-04 18:23:53,0.601,0.1019,Driving,Koila,Speeding,2way,0.0,20,105,-62,81.0,0.0,0.0032209580753424,40.32154462202426,21.79066461749913
User_66,2025-01-04 18:27:08,0.28,0.2357,Walking,Spinari,Speeding,4way,1.0,70,WiFi,-90,81.0,5.0,0.007588904783326,40.30614321504717,21.809502070994448
User_41,2025-01-04 19:07:30,0.628,0.1681,Running,Ligeris,Driving_Under_Influence,4way,1.0,Illegal_Parking,5G,-105,81.0,12.0,0.005653142335994,40.30555347457335,21.80761493571236
User_18,2025-01-04 19:53:22,0.251,0.3975,Walking,Zep,Driving_Under_Influence,4way,0.0,30,4G,-77,2.0,-8.0,0.005670153469007,40.280180384183915,23.840618
User_75,2025-01-04 19:58:47,0.409,0.1801,Swimming,Ligeris,Driving_Under_Influence,2way,0.0,80,4G,Ethernet,22.0,1.0,0.0044475442948761,40.30619381302846,21.8075318541615
User_54,2025-01-04 21:10:03,0.327,0.2819,Walking,Koila,Reckless_Driving,1way,160.0,60,3G,-79,40.0,6.0,0.0076864941824667,40.32259933668348,17.930272
User_17,2025-01-04 21:16:07,0.631,0.1478,Walking,Spinari,Speeding,2way,0.0,90,WiFi,-65,95.0,23.0,0.0063867838653184,40.30633301697815,21.809312558938423
User_24,2025-01-04 21:56:39,0.445,0.0896,Walking,Zep,Driving_Under_Influence,4way,0.0,30,4G,-91,15.0,16.0,0.022,40.27854642750859,21.753088298783783
User_58,2025-01-04 22:20:32,0.465,0.041,Walking,Zep,Speeding,2way,0.0,30,5G,-117,11.0,-12.0,0.0048197258693807,40.28096677803583,18.374783
User_67,2025-01-04 23:28:43,0.529,0.2186,Walking,Zep,Speeding,2way,140.0,80,4G,-83,33.0,0.0,0.0074905477393423,40.2785727960744,21.75409791833381
User_40,2025-01-05 00:04:06,0.482,0.3757,Walking,Koila,Reckless_Driving,2way,140.0,30,4G,-82,56.0,-3.0,0.0086466811138371,40.322631078763585,21.792390936728747
User_52,2025-01-05 00:41:42,0.544,0.5641,Driving,Ligeris,Driving_Under_Influence,1way,4.0,40,4G,-84,62.0,-1.0,0.0045267224274624,38.344293,21.808120809623578
User_66,2025-01-05 01:47:31,0.28,0.2377,Driving,Koila,Reckless_Driving,1way,0.0,10,3G,-102,7.0,-16.0,0.0017901462485893,37.500394,21.791041054421385
User_86,2025-01-05 04:05:01,0.469,0.0101,Driving,Zep,8,4way,1.0,30,WiFi,Satellite,25.0,-13.0,0.0060292634653848,40.27944440259926,21.752998978928503
User_55,2025-01-05 04:16:46,0.447,0.3454,Running,Ligeris,Speeding,2way,2.0,30,5G,-119,34.0,-5.0,0.004558186109247,42.448665,21.80764954584655
User_72,2025-01-05 05:35:03,0.567,0.0495,Running,Zep,Driving_Under_Influence,5way,1.0,30,WiFi,Ethernet,72.0,10.0,0.0055445521266347,40.27861679180894,21.755110264978526
User_08,2025-01-05 05:44:23,0.347,0.3668,Walking,Ligeris,Driving_Under_Influence,5way,1.0,20,WiFi,-81,23.0,-4.0,0.0021871198824003,40.30717307353881,21.808503152587384
User_76,2025-01-05 06:49:10,0.355,0.2071,Running,Koila,Speeding,2way,4.0,10,4G,-112,31.0,4.0,0.0069940032518984,37.831605,21.806701561803877
User_69,2025-01-05 07:34:02,0.34,0.3681,Running,Ligeris,Speeding,2way,140.0,10,108,-82,14.0,8.0,0.0010471077871642,40.30736439131019,21.807452828009495
User_67,2025-01-05 08:55:53,0.529,0.2206,Walking,Zep,Driving_Under_Influence,2way,0.0,Lane_Discards,3G,-73,8.0,13.0,0.0065787633198232,40.27948706531143,21.75296559233735
User_63,2025-01-05 09:43:11,0.543,0.1246,Running,Zep,Reckless_Driving,2way,150.0,20,3G,-117,-151.0,-13.0,0.0081408095526796,40.28004107060153,21.75320157186679
User_75,2025-01-05 10:12:13,0.409,0.1811,Driving,Ligeris,Driving_Under_Influence,5way,0.0,80,4G,-88,10.0,0.0,0.0039685168154694,40.30581837160928,21.80795662064329
