method,column,outliers_removed,outlier_indices,chunk_id
LODA,Speed_Limit,200,"[11778, 13835, 10259, 8724, 13843, 11800, 10776, 13337, 8220, 9245, 8225, 14376, 13865, 8234, 10290, 11826, 13876, 8757, 8246, 10806, 11320, 7730, 7731, 7739, 9276, 7742, 11328, 7749, 9798, 11337, 13897, 13388, 8270, 10318, 12878, 8273, 8275, 8788, 10844, 7773, 12387, 9320, 9834, 9835, 8812, 10346, 8819, 8822, 13943, 12918, 13434, 9341, 8830, 13960, 11402, 13451, 10892, 14476, 10895, 13456, 13457, 9874, 12947, 14480, 11925, 9371, 11934, 7846, 11432, 11945, 12980, 9909, 9910, 10933, 10424, 10425, 12992, 11972, 8389, 9426, 13012, 12501, 9945, 11994, 12508, 13021, 14045, 14558, 12001, 12004, 12006, 14055, 7912, 10473, 7407, 8433, 8434, 10999, 9470, 11007, 14593, 8450, 10498, 12546, 7428, 9479, 10506, 13579, 10510, 10006, 13591, 10013, 10022, 10024, 7465, 11051, 11563, 11569, 11060, 10038, 12599, 9029, 8521, 13644, 8529, 14161, 10580, 11609, 14171, 11613, 13663, 11621, 14182, 9577, 10090, 14186, 9071, 12143, 13683, 13303, 12668, 10621, 11133, 13181, 11648, 12162, 10116, 7556, 12167, 9609, 11147, 13707, 10126, 12686, 11666, 13206, 9625, 12703, 10658, 8101, 9638, 7593, 13228, 8622, 9135, 9647, 9137, 9649, 10672, 10164, 13238, 10168, 10682, 7612, 12734, 13246, 10180, 11718, 9159, 9671, 8649, 12746, 8139, 13772, 12749, 11220, 12245, 8148, 8672, 12769, 10210, 12772, 8166, 14311, 8167, 11246, 14321, 13815, 10235, 10750]",2
OC-SVM,Speed_Limit,77,"[13835, 10259, 9245, 7730, 8757, 10806, 7739, 9276, 7742, 9798, 11337, 13388, 10318, 12878, 10844, 7773, 12387, 10346, 8819, 13434, 13960, 13451, 13456, 9874, 11925, 11934, 11945, 10933, 9910, 9426, 13012, 9945, 12006, 10473, 7407, 8434, 9470, 11007, 10498, 12546, 7428, 9479, 10506, 13591, 10013, 10022, 10024, 7465, 11051, 10038, 10580, 11621, 14182, 14186, 13683, 12668, 13181, 12162, 7556, 13206, 9625, 9638, 7593, 8622, 10672, 7612, 12734, 10180, 9671, 13772, 8672, 12769, 10210, 14311, 14321, 13303, 10235]",2
Z-Score,Speed_Limit,0,[],2
IQR,Speed_Limit,0,[],2
MAD,Speed_Limit,0,[],2
HBOS,Internet_Connection,195,"[10243, 8710, 9230, 13839, 11281, 13333, 13847, 10263, 10264, 8217, 11806, 14371, 10277, 12330, 13357, 11828, 8757, 12342, 10807, 8764, 8264, 7752, 7754, 11851, 11852, 8783, 10320, 13393, 12370, 13910, 12377, 12891, 12892, 9821, 12381, 9831, 8809, 10348, 8813, 9837, 8818, 14450, 14452, 8309, 11381, 9337, 13437, 8832, 9344, 12936, 7306, 8333, 7827, 13975, 13976, 13978, 8861, 10911, 7841, 9890, 10404, 8359, 10922, 8877, 9389, 13487, 14509, 14510, 14513, 7341, 11448, 8891, 12993, 11459, 9412, 11462, 8392, 10955, 13004, 14543, 9936, 8915, 11477, 9942, 14549, 7384, 7385, 8410, 10972, 12002, 7398, 7910, 14056, 7911, 14571, 7403, 7421, 11007, 13570, 13572, 10501, 8966, 11014, 8968, 7428, 13589, 8474, 9498, 8989, 10013, 9725, 8995, 9509, 10025, 11563, 11064, 7994, 11068, 11069, 11070, 8000, 13122, 8013, 10575, 13145, 12635, 9565, 10592, 12128, 7524, 10599, 10606, 8046, 8048, 8565, 11127, 9592, 14201, 11130, 11644, 9598, 10111, 8576, 12162, 14210, 9609, 10633, 8596, 13208, 9632, 8609, 14243, 8612, 14245, 7593, 12202, 8108, 8622, 12721, 14260, 12217, 10170, 11197, 8639, 9151, 12223, 8642, 12739, 13762, 7615, 12744, 9161, 8139, 11724, 13261, 13777, 10706, 13779, 9175, 9689, 12251, 11228, 8155, 13278, 10724, 10214, 11751, 12775, 12776, 9195, 9708, 7659, 7660, 11259, 9213]",2
kNN,Internet_Connection,210,"[10243, 8710, 9230, 13839, 11281, 13333, 13847, 10263, 10264, 8217, 11806, 14371, 10277, 12330, 9261, 13357, 11828, 8757, 12342, 10807, 10810, 8764, 8264, 7752, 7754, 11851, 11852, 8783, 10320, 13393, 12370, 13910, 12377, 12891, 12892, 9821, 12381, 9831, 8809, 10348, 8813, 9837, 8818, 14450, 14452, 8309, 11381, 7795, 9337, 13437, 8318, 8832, 9344, 12936, 7306, 8333, 12942, 7827, 13975, 13976, 13978, 8861, 10911, 7841, 9890, 10404, 8359, 10922, 8877, 9389, 13487, 14509, 14510, 14513, 7341, 11448, 8891, 12993, 11459, 9412, 11462, 8392, 10955, 13004, 14543, 9936, 8915, 11477, 9942, 14549, 7384, 7385, 8410, 10972, 9953, 12002, 7398, 7910, 14056, 7911, 14571, 7403, 7921, 7421, 11007, 13570, 13572, 10501, 8966, 11014, 8968, 7428, 13589, 8474, 9498, 8989, 10013, 9725, 8995, 9509, 11560, 10025, 11563, 11064, 7994, 9020, 11068, 11069, 11070, 8000, 13122, 8013, 10575, 13145, 12635, 9565, 10592, 12128, 7524, 10599, 10606, 8046, 8048, 8565, 11127, 9592, 14201, 11130, 11642, 11644, 13178, 9598, 10111, 8576, 12162, 14210, 9609, 10633, 8596, 13208, 9632, 8609, 14243, 8612, 14245, 7593, 12202, 8108, 8622, 12721, 14260, 12217, 10170, 11197, 8638, 8639, 9151, 12223, 8642, 12739, 13762, 7615, 12744, 9161, 8138, 8139, 11724, 13261, 13777, 10706, 13779, 13782, 9175, 9689, 10714, 12251, 11228, 8155, 13278, 10724, 10214, 11751, 12775, 12776, 9195, 9708, 7659, 7660, 11259, 9213]",2
IForest,Internet_Connection,210,"[10243, 8710, 9230, 13839, 11281, 13333, 13847, 10263, 10264, 8217, 11806, 14371, 10277, 12330, 9261, 13357, 11828, 8757, 12342, 10807, 10810, 8764, 8264, 7752, 7754, 11851, 11852, 8783, 10320, 13393, 12370, 13910, 12377, 12891, 12892, 9821, 12381, 9831, 8809, 10348, 8813, 9837, 8818, 14450, 14452, 8309, 11381, 7795, 9337, 13437, 8318, 8832, 9344, 12936, 7306, 8333, 12942, 7827, 13975, 13976, 13978, 8861, 10911, 7841, 9890, 10404, 8359, 10922, 8877, 9389, 13487, 14509, 14510, 14513, 7341, 11448, 8891, 12993, 11459, 9412, 11462, 8392, 10955, 13004, 14543, 9936, 8915, 11477, 9942, 14549, 7384, 7385, 8410, 10972, 9953, 12002, 7398, 7910, 14056, 7911, 14571, 7403, 7921, 7421, 11007, 13570, 13572, 10501, 8966, 11014, 8968, 7428, 13589, 8474, 9498, 8989, 10013, 9725, 8995, 9509, 11560, 10025, 11563, 11064, 7994, 9020, 11068, 11069, 11070, 8000, 13122, 8013, 10575, 13145, 12635, 9565, 10592, 12128, 7524, 10599, 10606, 8046, 8048, 8565, 11127, 9592, 14201, 11130, 11642, 11644, 13178, 9598, 10111, 8576, 12162, 14210, 9609, 10633, 8596, 13208, 9632, 8609, 14243, 8612, 14245, 7593, 12202, 8108, 8622, 12721, 14260, 12217, 10170, 11197, 8638, 8639, 9151, 12223, 8642, 12739, 13762, 7615, 12744, 9161, 8138, 8139, 11724, 13261, 13777, 10706, 13779, 13782, 9175, 9689, 10714, 12251, 11228, 8155, 13278, 10724, 10214, 11751, 12775, 12776, 9195, 9708, 7659, 7660, 11259, 9213]",2
LODA,Internet_Connection,195,"[10243, 8710, 9230, 13839, 11281, 13333, 13847, 10263, 10264, 8217, 11806, 14371, 10277, 12330, 13357, 11828, 8757, 12342, 10807, 8764, 8264, 7752, 7754, 11851, 11852, 8783, 10320, 13393, 12370, 13910, 12377, 12891, 12892, 9821, 12381, 9831, 8809, 10348, 8813, 9837, 8818, 14450, 14452, 8309, 11381, 9337, 13437, 8832, 9344, 12936, 7306, 8333, 7827, 13975, 13976, 13978, 8861, 10911, 7841, 9890, 10404, 8359, 10922, 8877, 9389, 13487, 14509, 14510, 14513, 7341, 11448, 8891, 12993, 11459, 9412, 11462, 8392, 10955, 13004, 14543, 9936, 8915, 11477, 9942, 14549, 7384, 7385, 8410, 10972, 12002, 7398, 7910, 14056, 7911, 14571, 7403, 7421, 11007, 13570, 13572, 10501, 8966, 11014, 8968, 7428, 13589, 8474, 9498, 8989, 10013, 9725, 8995, 9509, 10025, 11563, 11064, 7994, 11068, 11069, 11070, 8000, 13122, 8013, 10575, 13145, 12635, 9565, 10592, 12128, 7524, 10599, 10606, 8046, 8048, 8565, 11127, 9592, 14201, 11130, 11644, 9598, 10111, 8576, 12162, 14210, 9609, 10633, 8596, 13208, 9632, 8609, 14243, 8612, 14245, 7593, 12202, 8108, 8622, 12721, 14260, 12217, 10170, 11197, 8639, 9151, 12223, 8642, 12739, 13762, 7615, 12744, 9161, 8139, 11724, 13261, 13777, 10706, 13779, 9175, 9689, 12251, 11228, 8155, 13278, 10724, 10214, 11751, 12775, 12776, 9195, 9708, 7659, 7660, 11259, 9213]",2
OC-SVM,Internet_Connection,210,"[10243, 8710, 9230, 13839, 11281, 13333, 13847, 10263, 10264, 8217, 11806, 14371, 10277, 12330, 9261, 13357, 11828, 8757, 12342, 10807, 10810, 8764, 8264, 7752, 7754, 11851, 11852, 8783, 10320, 13393, 12370, 13910, 12377, 12891, 12892, 9821, 12381, 9831, 8809, 10348, 8813, 9837, 8818, 14450, 14452, 8309, 11381, 7795, 9337, 13437, 8318, 8832, 9344, 12936, 7306, 8333, 12942, 7827, 13975, 13976, 13978, 8861, 10911, 7841, 9890, 10404, 8359, 10922, 8877, 9389, 13487, 14509, 14510, 14513, 7341, 11448, 8891, 12993, 11459, 9412, 11462, 8392, 10955, 13004, 14543, 9936, 8915, 11477, 9942, 14549, 7384, 7385, 8410, 10972, 9953, 12002, 7398, 7910, 14056, 7911, 14571, 7403, 7921, 7421, 11007, 13570, 13572, 10501, 8966, 11014, 8968, 7428, 13589, 8474, 9498, 8989, 10013, 9725, 8995, 9509, 11560, 10025, 11563, 11064, 7994, 9020, 11068, 11069, 11070, 8000, 13122, 8013, 10575, 13145, 12635, 9565, 10592, 12128, 7524, 10599, 10606, 8046, 8048, 8565, 11127, 9592, 14201, 11130, 11642, 11644, 13178, 9598, 10111, 8576, 12162, 14210, 9609, 10633, 8596, 13208, 9632, 8609, 14243, 8612, 14245, 7593, 12202, 8108, 8622, 12721, 14260, 12217, 10170, 11197, 8638, 8639, 9151, 12223, 8642, 12739, 13762, 7615, 12744, 9161, 8138, 8139, 11724, 13261, 13777, 10706, 13779, 13782, 9175, 9689, 10714, 12251, 11228, 8155, 13278, 10724, 10214, 11751, 12775, 12776, 9195, 9708, 7659, 7660, 11259, 9213]",2
Z-Score,Internet_Connection,103,"[8710, 13333, 13847, 10264, 8217, 11806, 14371, 11828, 8757, 10807, 8764, 8264, 7754, 11851, 11852, 8783, 10320, 13393, 13910, 12891, 9821, 9831, 8809, 10348, 9837, 8818, 14452, 8309, 11381, 9344, 12936, 7306, 8333, 13975, 13978, 10911, 7841, 10404, 8359, 7341, 13487, 14513, 9412, 11462, 8392, 10955, 9936, 8915, 11477, 9942, 7398, 7910, 7911, 7403, 11007, 13570, 10501, 8968, 8474, 9498, 8989, 9509, 10025, 11064, 7994, 11068, 11069, 8013, 13145, 12635, 9565, 10592, 7524, 10599, 8046, 8048, 11127, 9592, 14201, 11130, 12162, 10633, 8596, 9632, 14243, 8612, 7593, 12202, 8108, 8622, 12217, 10170, 8639, 8642, 12739, 13762, 13261, 13779, 11228, 10724, 10214, 9195, 7659]",2
IQR,Internet_Connection,120,"[8710, 11281, 13333, 13847, 10264, 8217, 11806, 14371, 11828, 8757, 10807, 8764, 8264, 7754, 11851, 11852, 8783, 10320, 13393, 13910, 12891, 9821, 9831, 8809, 10348, 8813, 9837, 8818, 14452, 8309, 11381, 8832, 9344, 12936, 7306, 8333, 13975, 13978, 10911, 7841, 10404, 8359, 9389, 14509, 13487, 7341, 14513, 11448, 8891, 9412, 11462, 8392, 10955, 9936, 8915, 11477, 9942, 7385, 7398, 7910, 7911, 7403, 11007, 13570, 10501, 11014, 8968, 8474, 9498, 8989, 9509, 10025, 11064, 7994, 11068, 11069, 8013, 13145, 12635, 9565, 10592, 7524, 10599, 8046, 8048, 8565, 11127, 9592, 14201, 11130, 11644, 9598, 12162, 10633, 8596, 9632, 14243, 8612, 7593, 12202, 8108, 8622, 14260, 12217, 10170, 8639, 9151, 12223, 8642, 12739, 13762, 9161, 13261, 13779, 11228, 10724, 10214, 12775, 9195, 7659]",2
MAD,Internet_Connection,163,"[10243, 8710, 13839, 11281, 13333, 13847, 10263, 10264, 8217, 11806, 14371, 10277, 11828, 8757, 10807, 8764, 8264, 7752, 7754, 11851, 11852, 8783, 10320, 13393, 12370, 13910, 12891, 12892, 9821, 12381, 9831, 8809, 10348, 8813, 9837, 8818, 14450, 14452, 8309, 11381, 8832, 9344, 12936, 7306, 8333, 13975, 13978, 8861, 10911, 7841, 10404, 8359, 8877, 9389, 13487, 14509, 14510, 14513, 7341, 11448, 8891, 12993, 9412, 11462, 8392, 10955, 13004, 14543, 9936, 8915, 11477, 9942, 7385, 8410, 7398, 7910, 7911, 14571, 7403, 7421, 11007, 13570, 13572, 10501, 8966, 11014, 8968, 7428, 13589, 8474, 9498, 8989, 10013, 8995, 9509, 10025, 11064, 7994, 11068, 11069, 11070, 13122, 8013, 10575, 13145, 12635, 9565, 10592, 12128, 7524, 10599, 10606, 8046, 8048, 8565, 11127, 9592, 14201, 11130, 11644, 9598, 10111, 12162, 14210, 9609, 10633, 8596, 9632, 8609, 14243, 8612, 14245, 7593, 12202, 8108, 8622, 12721, 14260, 12217, 10170, 8639, 9151, 12223, 8642, 12739, 13762, 7615, 9161, 8139, 13261, 10706, 13779, 12251, 11228, 8155, 10724, 10214, 11751, 12775, 9195, 9708, 7659, 7660]",2
HBOS,Internet_Signal_Strength,304,"[10240, 9219, 12804, 12294, 10248, 8715, 8716, 10253, 10765, 12299, 12815, 14349, 14351, 9235, 14355, 8213, 11797, 9753, 10265, 11802, 9244, 12828, 10783, 10272, 12836, 12325, 13861, 11304, 7721, 8746, 12844, 11310, 7730, 12858, 12859, 10304, 9281, 12866, 8261, 9798, 9799, 10824, 14408, 8267, 12363, 12876, 13902, 10831, 9296, 10321, 14418, 7764, 12885, 9815, 11352, 11863, 9822, 10336, 10338, 13410, 9316, 7781, 12903, 10346, 11884, 14444, 7790, 10352, 11377, 10356, 13430, 14455, 9847, 9336, 8825, 8827, 13949, 11390, 13438, 8321, 8322, 8837, 12423, 11914, 7309, 7310, 12431, 9362, 14483, 10903, 8344, 8857, 11415, 11420, 10909, 7324, 7329, 10402, 11940, 9386, 8363, 9387, 12461, 12973, 8367, 13997, 13499, 8380, 9917, 9919, 8385, 10945, 9923, 10951, 7879, 11465, 14538, 7883, 8910, 13519, 9427, 9428, 10969, 12505, 12506, 12508, 14045, 7386, 12511, 9440, 8929, 14048, 7901, 9444, 14053, 7909, 8935, 14061, 9966, 13041, 12530, 7921, 7413, 9462, 9463, 8440, 11000, 14074, 14586, 11004, 14077, 7937, 8701, 7939, 10503, 9992, 13068, 14093, 11537, 13585, 8979, 12564, 14102, 12055, 11545, 9724, 9502, 13087, 11041, 12577, 13091, 12069, 10534, 13607, 14118, 12588, 8493, 12590, 12591, 7984, 11057, 13106, 12595, 7989, 9015, 12600, 10041, 13624, 7483, 9533, 14142, 11583, 12607, 7492, 9541, 13640, 7496, 8526, 14159, 7503, 7506, 8020, 14165, 10582, 9051, 11612, 13149, 11614, 14171, 10080, 8037, 9062, 11110, 11622, 11113, 14185, 14186, 13678, 9583, 11119, 13681, 11123, 12151, 13688, 14204, 11651, 11654, 11143, 9608, 8070, 7562, 12684, 14220, 10129, 11153, 7569, 9108, 11669, 12183, 11162, 14234, 11676, 12190, 10655, 13215, 9121, 10148, 7589, 10662, 8615, 12714, 12716, 10159, 11187, 8628, 12725, 13749, 13239, 8120, 8117, 10169, 11706, 11707, 8636, 11708, 14268, 7613, 8640, 10688, 12738, 14274, 9158, 12743, 10702, 14290, 12755, 8661, 11734, 13272, 13784, 9181, 8158, 11743, 13280, 13793, 9698, 9187, 12259, 11749, 12771, 14305, 8173, 7662, 11759, 12784, 13808, 14321, 12276, 7670, 8184, 9722, 12283, 8700, 13309]",2
kNN,Internet_Signal_Strength,168,"[9219, 12804, 12294, 8716, 10765, 14349, 9235, 14355, 10776, 10265, 11802, 14363, 12828, 10783, 10272, 12833, 14372, 11304, 11310, 7730, 10296, 12858, 12859, 10304, 12866, 13382, 9799, 14408, 12363, 12364, 12876, 9809, 7764, 7765, 11863, 11352, 9822, 10338, 12398, 10352, 11377, 10356, 9336, 8825, 8827, 10875, 13438, 8321, 8322, 14468, 11914, 7310, 14483, 12949, 8344, 11420, 7324, 11422, 7329, 9891, 11940, 12461, 13499, 8380, 9917, 9919, 9923, 9926, 7879, 11465, 13519, 9427, 9428, 10969, 12505, 12507, 7386, 7901, 13534, 12511, 8929, 14061, 12530, 9462, 8954, 14586, 11004, 14592, 7937, 7939, 9992, 12564, 13591, 10232, 13087, 12069, 13607, 7984, 12595, 7476, 7989, 7483, 9533, 14142, 11583, 12607, 13640, 7496, 12108, 14159, 7503, 11604, 9045, 11614, 11617, 8037, 11110, 11622, 11113, 14186, 13678, 11123, 9588, 12151, 13688, 14204, 12684, 13711, 11153, 8083, 11669, 11162, 12190, 13215, 8095, 10148, 7589, 11690, 12716, 10159, 10671, 14256, 11187, 8628, 12725, 13749, 13239, 11706, 12738, 8661, 11734, 13781, 13784, 8158, 13280, 9698, 9187, 12259, 11749, 12771, 9711, 11759, 13295, 13808, 13302, 8184, 9722, 8700]",2
IForest,Internet_Signal_Strength,358,"[12294, 12301, 14353, 10265, 8218, 8220, 12320, 12340, 8251, 12351, 10307, 12362, 12363, 10322, 8281, 14429, 8287, 10338, 10340, 10341, 10353, 10368, 8321, 8322, 14465, 8328, 12429, 10382, 10386, 8341, 8344, 10392, 12445, 8353, 14498, 12456, 10409, 8372, 8380, 14530, 8388, 12487, 14550, 14555, 14573, 10491, 8454, 14598, 8460, 12564, 8469, 10518, 8477, 10527, 8484, 8494, 8503, 12601, 8509, 12630, 8538, 8540, 8551, 12649, 10610, 12669, 10623, 12673, 10632, 8590, 8594, 10644, 8603, 8621, 8628, 12725, 12731, 8645, 12741, 8660, 8661, 8687, 8694, 8700, 8708, 12804, 12811, 12823, 12827, 10798, 12849, 8755, 12859, 12865, 10819, 12876, 12887, 8812, 10860, 8815, 8825, 10874, 8828, 10876, 8835, 8854, 8859, 8860, 10907, 12958, 8863, 12966, 12968, 8878, 10934, 12987, 12999, 8909, 13011, 8920, 13019, 10973, 8926, 8929, 10977, 10984, 10987, 13042, 11004, 13055, 8964, 13073, 8990, 13087, 13089, 11049, 13108, 9013, 9014, 9023, 13120, 11077, 9039, 9053, 11103, 13153, 9071, 11136, 13192, 11154, 9124, 13239, 11194, 9152, 13250, 13251, 11206, 9184, 13280, 9187, 11238, 11247, 13300, 11256, 13304, 13315, 9220, 9241, 13339, 13354, 9261, 13378, 13386, 11341, 9301, 13399, 11352, 11359, 9318, 9319, 9328, 11377, 13426, 9336, 9340, 13438, 13439, 9350, 7310, 11407, 9361, 9369, 9372, 11420, 13484, 11442, 13499, 11457, 13506, 7364, 7366, 11468, 9428, 9432, 7388, 11485, 11492, 11505, 9459, 11510, 9464, 9482, 13603, 13607, 11561, 9514, 11562, 13625, 9537, 13634, 11588, 7496, 9550, 13646, 9552, 9557, 7515, 7521, 13667, 7527, 13675, 9589, 9590, 7541, 11641, 7545, 7552, 11650, 11657, 13726, 9633, 7585, 7589, 9640, 9652, 7605, 9655, 9665, 9671, 11720, 9674, 7633, 7637, 13784, 9698, 13794, 7652, 11749, 9703, 11764, 11769, 7676, 11780, 9738, 13860, 9784, 9786, 11836, 13886, 11841, 9797, 9799, 13895, 9803, 7757, 11857, 9810, 7764, 11861, 11863, 11869, 9826, 13928, 9846, 13945, 7810, 13962, 13967, 9873, 11921, 9883, 13979, 7854, 9905, 9917, 9919, 7873, 7888, 7892, 11993, 9947, 7901, 7913, 14061, 9983, 7937, 7939, 14087, 9998, 14101, 7958, 7961, 7964, 14114, 7972, 7975, 7977, 7982, 7984, 7989, 10038, 7997, 7999, 8017, 12116, 12117, 8024, 14180, 14186, 14196, 12151, 8055, 14204, 12161, 8071, 12168, 10124, 14237, 10148, 14244, 10150, 10159, 14272, 8129, 10181, 8133, 8137, 12235, 10191, 14287, 8159, 12256, 8161, 12261, 8167, 12277, 8184, 8190]",2
LODA,Internet_Signal_Strength,336,"[10240, 12294, 10248, 8202, 12299, 10253, 14349, 14351, 14355, 8213, 10265, 10272, 14369, 12325, 10304, 8261, 14408, 8267, 12363, 10321, 14418, 10336, 10338, 10346, 14444, 10352, 10356, 14455, 8321, 8322, 12423, 12424, 12431, 14483, 8344, 10402, 8363, 12461, 8367, 8380, 8385, 14538, 12505, 12506, 12508, 12511, 12530, 12534, 8440, 14586, 10503, 12564, 12577, 10534, 12588, 8493, 12590, 12591, 12595, 12600, 12607, 12620, 8526, 10582, 10589, 12684, 10655, 10662, 8615, 12714, 12716, 8628, 8629, 12725, 8635, 8636, 8640, 10688, 12738, 12743, 10702, 12755, 8661, 12771, 8677, 12784, 8700, 8701, 12804, 8715, 8716, 10765, 12815, 12828, 10783, 12836, 8746, 12844, 12858, 12859, 12866, 10824, 12876, 10831, 12885, 12903, 8816, 8825, 8827, 8837, 10903, 8857, 10909, 12973, 10945, 12994, 10951, 8910, 10969, 8929, 8935, 13041, 11000, 11004, 13068, 8979, 13087, 11041, 13091, 11057, 13106, 9015, 9051, 13149, 9062, 11110, 11113, 11119, 11123, 11143, 11153, 9108, 11162, 13215, 9121, 11187, 13239, 9158, 13272, 9181, 13280, 9187, 11251, 13309, 9219, 9235, 13336, 9244, 11304, 9258, 11310, 9281, 9289, 9296, 11352, 13410, 9316, 11377, 13430, 9336, 11390, 13438, 7309, 7310, 9362, 11415, 11420, 7324, 7329, 9386, 9387, 13499, 11465, 13519, 9427, 9428, 7386, 9440, 9444, 7407, 7413, 9462, 9463, 11527, 11537, 13585, 11545, 9502, 13607, 13624, 7483, 9533, 11583, 7492, 9541, 13640, 7496, 7503, 7506, 11606, 11612, 11614, 11622, 13678, 9583, 13681, 13688, 13698, 11651, 11654, 9608, 7562, 7569, 11669, 11676, 7589, 13749, 11706, 11707, 11708, 7613, 11734, 13784, 11743, 13793, 9698, 11749, 7662, 11759, 13808, 7670, 9722, 9724, 9739, 11797, 11800, 9753, 11802, 13861, 7721, 7730, 7746, 9798, 9799, 13902, 7764, 9815, 11863, 9822, 7781, 11884, 7790, 9847, 13949, 11914, 11940, 13997, 9917, 7869, 9919, 9923, 7879, 7883, 14045, 7901, 14048, 14053, 7909, 14061, 9966, 7921, 14074, 14077, 7937, 7939, 12037, 9992, 14093, 10000, 14102, 12055, 12069, 14118, 12078, 7984, 7989, 10041, 14142, 14159, 8020, 14165, 14171, 10080, 8037, 14185, 14186, 14197, 12151, 14204, 8070, 12167, 14220, 10129, 12183, 14234, 12190, 10148, 10159, 8117, 8120, 10169, 14268, 14274, 10189, 14288, 14290, 8158, 14305, 12259, 10219, 8173, 10223, 14321, 12276, 8184, 12283]",2
OC-SVM,Internet_Signal_Strength,339,"[14343, 12301, 14353, 12310, 8218, 12320, 8231, 8241, 12344, 12351, 12360, 12362, 8281, 14429, 8287, 10341, 14448, 10353, 8306, 10363, 8316, 10368, 14465, 8328, 14473, 12429, 10382, 10386, 8341, 12443, 10398, 14496, 8353, 8357, 8388, 8391, 10439, 12487, 14550, 8415, 12518, 8428, 8429, 10479, 12532, 10491, 14593, 8454, 8455, 14598, 10506, 12554, 8469, 10518, 8477, 8479, 8484, 10535, 8488, 10538, 8494, 10546, 8503, 12599, 12601, 8508, 10563, 10579, 12630, 8538, 8540, 8551, 12649, 10615, 12669, 12673, 10632, 12680, 8590, 8594, 10644, 8603, 8621, 12731, 8643, 8645, 12741, 8653, 8660, 10717, 8687, 12787, 8694, 12811, 12823, 12827, 12834, 10798, 12849, 12855, 12862, 12865, 10819, 12880, 12894, 8812, 10874, 8828, 8854, 8859, 8860, 10907, 8863, 12966, 12968, 8878, 10932, 10934, 12987, 13011, 8920, 13019, 10973, 8926, 8930, 10984, 10987, 13042, 10997, 8952, 8964, 13073, 8983, 13081, 8990, 13089, 13095, 11049, 11054, 9014, 9023, 13120, 9028, 11077, 9032, 11080, 11103, 13153, 11115, 11136, 13192, 11154, 9124, 11184, 13235, 9152, 13250, 13251, 11206, 13255, 11226, 11227, 11238, 13300, 13303, 11256, 13304, 9220, 9236, 9241, 13339, 9261, 11316, 13378, 11341, 9301, 11350, 13399, 11359, 13407, 9319, 11374, 9328, 13426, 9340, 13439, 9350, 11414, 9372, 11432, 13484, 11442, 13500, 11456, 11457, 13506, 7364, 7366, 11468, 7374, 9432, 11485, 11492, 11505, 9459, 9464, 11519, 11529, 11561, 9514, 11562, 13611, 7479, 11576, 13625, 11588, 9550, 13646, 7504, 9557, 13658, 7515, 13667, 13675, 7541, 9590, 7545, 13696, 11650, 7556, 11653, 11657, 11667, 7577, 9629, 7583, 13728, 9633, 7585, 9640, 9649, 9652, 7605, 9655, 9665, 11713, 9674, 7633, 7637, 13794, 7652, 7654, 9703, 7663, 11769, 11772, 13827, 11780, 9734, 9738, 13860, 11821, 9786, 11836, 13886, 11841, 9797, 13895, 9803, 7757, 11857, 9810, 13909, 9823, 9826, 11892, 13941, 9846, 7797, 11907, 9863, 13962, 7822, 11921, 13972, 9883, 13979, 11934, 9892, 9905, 7860, 11961, 9921, 14019, 7892, 11993, 11999, 7913, 9983, 9998, 14101, 7958, 7961, 7964, 14114, 7972, 7975, 7982, 10038, 14152, 8017, 12114, 12116, 12117, 8024, 10079, 14180, 10087, 14196, 8055, 12161, 14209, 8071, 12168, 10121, 14237, 10150, 12208, 14272, 8129, 8137, 10191, 14287, 12242, 14296, 12256, 8161, 12271, 10227]",2
Z-Score,Internet_Signal_Strength,0,[],2
IQR,Internet_Signal_Strength,0,[],2
MAD,Internet_Signal_Strength,0,[],2
